route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,IC,Gand-Saint-Pierre -- Gand-Dampoort,,103,,,
10,NMBS/SNCB,BUS,Alost -- Denderleeuw,,700,,,
100,NMBS/SNCB,BUS,Marloie -- Bomal,,700,,,
101,NMBS/SNCB,BUS,Houyet -- Gedinne,,700,,,
102,NMBS/SNCB,BUS,Liège-Guillemins -- Waremme,,700,,,
103,NMBS/SNCB,BUS,Ottignies -- Namur,,700,,,
104,NMBS/SNCB,BUS,Yvoir -- Gendron-Celles,,700,,,
105,NMBS/SNCB,BUS,Dinant -- Yvoir,,700,,,
106,NMBS/SNCB,BUS,Wavre -- Louvain,,700,,,
107,NMBS/SNCB,BUS,Marloie -- Libramont,,700,,,
108,NMBS/SNCB,BUS,Rochefort-Jemelle -- Bomal,,700,,,
109,NMBS/SNCB,BUS,Liège-Guillemins -- Welkenraedt,,700,,,
11,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Deinze,,700,,,
110,NMBS/SNCB,BUS,Arlon -- Athus,,700,,,
111,NMBS/SNCB,BUS,Yvoir -- Houyet,,700,,,
112,NMBS/SNCB,BUS,Luxembourg (LU) -- Ciney,,700,,,
113,NMBS/SNCB,BUS,Rochefort-Jemelle -- Ciney,,700,,,
114,NMBS/SNCB,BUS,Libramont -- Marbehan,,700,,,
115,NMBS/SNCB,BUS,Libramont -- Bertrix,,700,,,
116,NMBS/SNCB,BUS,Maastricht (NL) -- Liège-Guillemins,,700,,,
117,NMBS/SNCB,BUS,Maastricht (NL) -- Visé,,700,,,
118,NMBS/SNCB,BUS,Landen -- Liège-Guillemins,,700,,,
119,NMBS/SNCB,BUS,Ottignies -- Louvain,,700,,,
12,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Lokeren,,700,,,
120,NMBS/SNCB,BUS,Rhisnes -- Namur,,700,,,
121,NMBS/SNCB,BUS,Namur -- Charleroi-Central,,700,,,
122,NMBS/SNCB,BUS,Namur -- Jemeppe-sur-Sambre,,700,,,
123,NMBS/SNCB,BUS,Welkenraedt -- Eupen,,700,,,
124,NMBS/SNCB,BUS,Ottignies -- Gembloux,,700,,,
125,NMBS/SNCB,BUS,Verviers-Central -- Welkenraedt,,700,,,
126,NMBS/SNCB,BUS,Bruxelles-Luxembourg -- Ottignies,,700,,,
127,NMBS/SNCB,BUS,Louvain -- Welkenraedt,,700,,,
128,NMBS/SNCB,BUS,Liège-Guillemins -- Liers,,700,,,
129,NMBS/SNCB,BUS,Liège-Guillemins -- Herstal,,700,,,
13,NMBS/SNCB,BUS,Bruges -- Lichtervelde,,700,,,
130,NMBS/SNCB,BUS,Liège-Guillemins -- Liège-Saint-Lambert,,700,,,
131,NMBS/SNCB,BUS,Verviers-Central -- Spa-Géronstère,,700,,,
132,NMBS/SNCB,BUS,La Louvière-Sud -- Tournai,,700,,,
133,NMBS/SNCB,BUS,Mons -- Quévy,,700,,,
134,NMBS/SNCB,BUS,Saint-Ghislain -- Tournai,,700,,,
135,NMBS/SNCB,BUS,Bruxelles-Midi -- Nivelles,,700,,,
136,NMBS/SNCB,BUS,Charleroi-Central -- Couvin,,700,,,
137,NMBS/SNCB,BUS,Maubeuge (FR) -- Charleroi-Central,,700,,,
138,NMBS/SNCB,BUS,Charleroi-Central -- Manage,,700,,,
139,NMBS/SNCB,BUS,Blaton -- Tournai,,700,,,
14,NMBS/SNCB,BUS,Audenarde -- Denderleeuw,,700,,,
140,NMBS/SNCB,BUS,Mons -- Tournai,,700,,,
141,NMBS/SNCB,BUS,Charleroi-Central -- Tamines,,700,,,
142,NMBS/SNCB,BUS,Jurbise -- Ath,,700,,,
143,NMBS/SNCB,BUS,Mons -- Soignies,,700,,,
144,NMBS/SNCB,BUS,Mons -- La Louvière-Sud,,700,,,
145,NMBS/SNCB,BUS,Bruxelles-Midi -- Charleroi-Central,,700,,,
146,NMBS/SNCB,BUS,Ottignies -- Charleroi-Central,,700,,,
147,NMBS/SNCB,BUS,Mariembourg -- Couvin,,700,,,
148,NMBS/SNCB,BUS,Luttre -- Manage,,700,,,
149,NMBS/SNCB,BUS,Charleroi-Central -- Fleurus,,700,,,
15,NMBS/SNCB,BUS,Anvers-Central -- Saint-Nicolas,,700,,,
150,NMBS/SNCB,BUS,Ath -- Grammont,,700,,,
151,NMBS/SNCB,IC,Anvers-Central -- Saint-Nicolas,,103,,,
152,NMBS/SNCB,BUS,Braine-le-Comte -- Soignies,,700,,,
153,NMBS/SNCB,BUS,Mons -- Jurbise,,700,,,
154,NMBS/SNCB,BUS,Châtelet -- Tamines,,700,,,
155,NMBS/SNCB,BUS,Tournai -- Mouscron,,700,,,
156,NMBS/SNCB,BUS,Mons -- Saint-Ghislain,,700,,,
157,NMBS/SNCB,BUS,Lille Flandres (FR) -- Courtrai,,700,,,
158,NMBS/SNCB,BUS,Lille Flandres (FR) -- Mouscron,,700,,,
159,NMBS/SNCB,BUS,Ottignies -- Fleurus,,700,,,
16,NMBS/SNCB,BUS,Lokeren -- Saint-Nicolas,,700,,,
160,NMBS/SNCB,BUS,Zottegem -- Courtrai,,700,,,
161,NMBS/SNCB,BUS,Zottegem -- Grammont,,700,,,
