route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,88____:007::8892007:8893120:3:1707:20240204,Gand-Dampoort,1000,,1,,1
1,000001,88____:007::8892007:8893120:3:1807:20240204,Gand-Dampoort,1001,,2,,1
1,000001,88____:007::8892007:8893120:3:1907:20240204,Gand-Dampoort,1002,,3,,1
1,000001,88____:007::8892007:8893120:3:2007:20240204,Gand-Dampoort,1003,,4,,1
1,000001,88____:007::8892007:8893120:3:2107:20240204,Gand-Dampoort,1004,,5,,1
1,000001,88____:007::8892007:8893120:3:2207:20240204,Gand-Dampoort,1005,,6,,1
1,000001,88____:007::8893120:8892007:3:1750:20240204,Gand-Saint-Pierre,1006,,7,,1
1,000001,88____:007::8893120:8892007:3:1850:20240204,Gand-Saint-Pierre,1007,,8,,1
1,000001,88____:007::8893120:8892007:3:1950:20240204,Gand-Saint-Pierre,1008,,9,,1
1,000001,88____:007::8893120:8892007:3:2050:20240204,Gand-Saint-Pierre,1009,,10,,1
1,000001,88____:007::8893120:8892007:3:2150:20240204,Gand-Saint-Pierre,1010,,11,,1
1,000001,88____:007::8893120:8892007:3:2250:20240204,Gand-Saint-Pierre,1011,,12,,1
1,000001,88____:007::8892007:8893120:3:2307:20240204,Gand-Dampoort,1012,,13,,1
2,000002,88____:007::8892007:8895000:9:546:20240412,Alost,10303,,14,,1
2,000003,88____:007::8892007:8895000:9:647:20240414,Alost,10304,,15,,1
2,000002,88____:007::8892007:8895000:9:647:20240412,Alost,10304,,16,,1
3,000004,88____:007::8892338:8892007:11:707:20240413,Alost,10305,,17,,1
3,000004,88____:007::8892007:8895000:9:747:20240413,Alost,10305,,17,,1
3,001063,88____:007::8892007:8895000:9:747:20240414,Alost,10305,,18,,1
2,000002,88____:007::8892007:8895000:9:747:20240412,Alost,10305,,19,,1
3,000003,88____:007::8892338:8895000:19:847:20240414,Alost,10306,,20,,1
2,000002,88____:007::8892007:8895000:9:847:20240412,Alost,10306,,21,,1
3,000003,88____:007::8892338:8895000:19:947:20240414,Alost,10307,,22,,1
2,000002,88____:007::8892007:8895000:9:947:20240412,Alost,10307,,23,,1
3,000003,88____:007::8892338:8895000:19:1047:20240414,Alost,10308,,24,,1
2,000002,88____:007::8892007:8895000:9:1047:20240412,Alost,10308,,25,,1
3,000003,88____:007::8892338:8895000:19:1147:20240414,Alost,10309,,26,,1
2,000002,88____:007::8892007:8895000:9:1147:20240412,Alost,10309,,27,,1
3,000003,88____:007::8892338:8895000:19:1247:20240414,Alost,10310,,28,,1
2,000002,88____:007::8892007:8895000:9:1247:20240412,Alost,10310,,29,,1
3,000003,88____:007::8892338:8895000:19:1347:20240414,Alost,10311,,30,,1
2,000002,88____:007::8892007:8895000:9:1347:20240412,Alost,10311,,31,,1
3,000003,88____:007::8892338:8895000:19:1447:20240414,Alost,10312,,32,,1
2,000002,88____:007::8892007:8895000:9:1447:20240412,Alost,10312,,33,,1
3,000003,88____:007::8892338:8895000:19:1547:20240414,Alost,10313,,34,,1
2,000002,88____:007::8892007:8895000:9:1547:20240412,Alost,10313,,35,,1
3,000003,88____:007::8892338:8895000:19:1647:20240414,Alost,10314,,36,,1
2,000002,88____:007::8892007:8895000:9:1647:20240412,Alost,10314,,37,,1
3,000003,88____:007::8892338:8895000:19:1747:20240414,Alost,10315,,38,,1
2,000002,88____:007::8892007:8895000:9:1747:20240412,Alost,10315,,39,,1
3,000005,88____:007::8892338:8895000:19:1847:20240414,Alost,10316,,40,,1
3,000006,88____:007::8892338:8895000:19:1850:20240331,Alost,10316,,41,,1
2,000002,88____:007::8892007:8895000:9:1847:20240412,Alost,10316,,42,,1
3,000003,88____:007::8892338:8895000:19:1947:20240414,Alost,10317,,43,,1
2,000002,88____:007::8892007:8895000:9:1947:20240412,Alost,10317,,44,,1
3,000005,88____:007::8892338:8895000:19:2047:20240414,Alost,10318,,45,,1
3,000006,88____:007::8892338:8895000:19:2050:20240331,Alost,10318,,46,,1
2,000002,88____:007::8892007:8895000:9:2047:20240412,Alost,10318,,47,,1
3,000003,88____:007::8892338:8895000:19:2147:20240414,Alost,10319,,48,,1
2,000002,88____:007::8892007:8895000:9:2147:20240412,Alost,10319,,49,,1
3,000003,88____:007::8892338:8895000:19:2247:20240414,Alost,10320,,50,,1
2,000002,88____:007::8892007:8895000:9:2247:20240412,Alost,10320,,51,,1
2,000002,88____:007::8892007:8895000:9:2346:20240412,Alost,10321,,52,,1
3,000007,88____:007::8895000:8892338:19:808:20240407,La Panne,10328,,53,,1
2,000002,88____:007::8895000:8892007:9:648:20240412,Gand-Saint-Pierre,10328,,54,,1
